Woonplaats;Woonplaats code;Ingangsdatum WPL;Einddatum WPL;Gemeente;Gemeente code;Ingangsdatum nieuwe gemeente;Gemeente beeindigd per
Kerkwijk;2632;;;Zaltbommel;0297;;
Kessel;1699;;;Peel en Maas;1894;;
Kesteren;1096;;;Neder-Betuwe;1740;;
Kiel-Windeweer;1019;;;Hoogezand-Sappemeer;0018;;
Kilder;2207;;;Montferland;1955;;
Kimswerd;2314;;;Wûnseradiel;0710;;01-01-2011
Kimswerd;2314;;;Súdwest Fryslân;1900;01-01-2011;
Kinderdijk;2794;;;Nieuw-Lekkerland;0571;;
Kinnum;2624;;;Terschelling;0093;;
Klaaswaal;2371;;;Cromstrijen;0611;;
Klarenbeek;2248;;;Apeldoorn;0200;;
Klarenbeek;2606;;;Voorst;0285;;
Klazienaveen;1991;;;Emmen;0114;;
Klazienaveen-Noord;1992;;;Emmen;0114;;
Klein Zundert;3492;;;Zundert;0879;;
Klijndijk;1796;;;Borger-Odoorn;1681;;
Klimmen;1853;;;Voerendaal;0986;;
Kloetinge;1468;;;Kapelle;0678;;
Kloetinge;1826;;;Goes;0664;;
Klooster Lidlum;1376;;;Franekeradeel;0070;;
Kloosterburen;3418;;;De Marne;1663;;
Kloosterhaar;1555;;;Hardenberg;0160;;
Kloosterhaar;3323;;;Twenterand;1700;;
Kloosterzande;3100;;;Hulst;0677;;
Klundert;1319;;;Moerdijk;1709;;
Knegsel;2994;;;Eersel;0770;;
Koarnjum;3229;;;Leeuwarderadeel;0081;;
Kockengen;1393;;;Breukelen;0311;;01-01-2011
Kockengen;1393;;;Stichtse Vecht;1904;01-01-2011;
Koedijk;1120;;;Langedijk;0416;;
Koedijk;2349;;;Alkmaar;0361;;
Koekange;3167;;;De Wolden;1690;;
Koewacht;1131;;;Terneuzen;0715;;
Kolderwolde;1677;;;Gaasterlân-Sleat;0653;;
Kolham;1351;;;Slochteren;0040;;
Kolhorn;2516;;;Niedorp;0412;;01-01-2012
Kolhorn;2516;;;Hollands Kroon;1911;01-01-2012;
Kollum;3309;;;Kollumerland en Nieuwkruisland;0079;;
Kollumerpomp;3310;;;Kollumerland en Nieuwkruisland;0079;;
Kollumerzwaag;3311;;;Kollumerland en Nieuwkruisland;0079;;
Kommerzijl;2119;;;Zuidhorn;0056;;
Koningsbosch;2042;;;Echt-Susteren;1711;;
Koningslust;3442;;;Peel en Maas;1894;;
Koog aan de Zaan;1879;;;Zaanstad;0479;;
Koolwijk;3258;;;Oss;0828;;
Kootstertille;3179;;;Achtkarspelen;0059;;
Kootwijk;1062;;;Barneveld;0203;;
Kootwijkerbroek;1056;;;Barneveld;0203;;
Kornhorn;2176;;;Grootegast;0015;;
Kornwerderzand;2315;;;Wûnseradiel;0710;;01-01-2011
Kornwerderzand;2315;;;Súdwest Fryslân;1900;01-01-2011;
Kortehemmen;3283;;;Smallingerland;0090;;
Kortenhoef;3001;;06-03-2012;Wijdemeren;1696;;
Kortenhoef;3526;09-12-2011;;Wijdemeren;1696;;
Kortgene;3189;;;Noord-Beveland;1695;;
Koudekerk aan den Rijn;2850;;;Rijnwoude;1672;;
Koudekerke;2779;;;Veere;0717;;
Koudum;1966;;;Nijefurd;0104;;01-01-2011
Koudum;1966;;;Súdwest Fryslân;1900;01-01-2011;
Koufurderrige;2413;;;Wymbritseradiel;0683;;01-01-2011
Koufurderrige;2413;;;Súdwest Fryslân;1900;01-01-2011;
Krabbendijke;3462;;;Reimerswaal;0703;;
Kraggenburg;1275;;;Noordoostpolder;0171;;
Kreileroord;2433;;;Wieringermeer;0463;;01-01-2012
Kreileroord;2433;;;Hollands Kroon;1911;01-01-2012;
Krewerd;3238;;;Delfzijl;0010;;
Krimpen aan de Lek;2375;;;Nederlek;0643;;
Krimpen aan den IJssel;1144;;;Krimpen aan den IJssel;0542;;
Kring van Dorth;1341;;;Lochem;0262;;
Krommenie;1880;;;Zaanstad;0479;;
Kronenberg;1516;;;Horst aan de Maas;1507;;
Kropswolde;1020;;;Hoogezand-Sappemeer;0018;;
Kruiningen;3463;;;Reimerswaal;0703;;
Kruisland;1403;;;Steenbergen;0851;;
Kûbaard;2024;;;Littenseradiel;0140;;
Kudelstaart;2572;;;Aalsmeer;0358;;
Kuinre;2704;;;Steenwijkerland;1708;;
Kuitaart;3097;;;Hulst;0677;;
Kwadendamme;1257;;;Borsele;0654;;
Kwadijk;1839;;;Zeevang;0478;;
Kwintsheul;2657;;;Westland;1783;;
Laag Zuthem;1495;;;Raalte;0177;;
Laag-Keppel;1522;;;Bronckhorst;1876;;
Laag-Soeren;1506;;;Rheden;0275;;
Lage Mierde;1876;;;Reusel-De Mierden;1667;;
Lage Vuursche;1093;;;Baarn;0308;;
Lage Zwaluwe;2576;;;Drimmelen;1719;;
Lageland;1352;;;Slochteren;0040;;
Lambertschaag;3150;;;Medemblik;0420;;
Lamswaarde;3099;;;Hulst;0677;;
Landerum;2618;;;Terschelling;0093;;
Landgraaf;3055;;;Landgraaf;0882;;
Landhorst;2080;;;Sint Anthonis;1702;;
Landsmeer;1328;;;Landsmeer;0415;;
Langbroek;1303;;;Wijk bij Duurstede;0352;;
Langedijke;1759;;;Ooststellingwerf;0085;;
Langelille;1724;;;Weststellingwerf;0098;;
Langelo;1638;;;Noordenveld;1699;;
Langenboom;1978;;;Mill en Sint Hubert;0815;;
Langerak;1808;;;Liesveld;0694;;
Langeveen;1289;;;Tubbergen;0183;;
Langeweg;1326;;;Moerdijk;1709;;
Langezwaag;3349;;;Opsterland;0086;;
Langweer;2494;;;Skarsterlân;0051;;
Laren;1342;;;Lochem;0262;;
Laren;2890;;;Laren;0417;;
Lathum;1301;;;Zevenaar;0299;;
Lattrop-Breklenkamp;1410;;;Dinkelland;1774;;
Lauwersoog;3419;;;De Marne;1663;;
Lauwerzijl;2120;;;Zuidhorn;0056;;
Ledeacker;2081;;;Sint Anthonis;1702;;
Leek;2341;;;Leek;0022;;
Leende;1315;;;Heeze-Leende;1658;;
Leens;3420;;;De Marne;1663;;
Leerbroek;2110;;;Zederik;0707;;
Leerdam;2271;;;Leerdam;0545;;
Leermens;3448;;;Loppersum;0024;;
Leersum;3336;;;Utrechtse Heuvelrug;1581;;
Leeuwarden;1197;;;Leeuwarden;0080;;
Leeuwarden;3543;05-01-2012;;Leeuwarden;0080;;
Legemeer;2495;;;Skarsterlân;0051;;
Leiden;2088;;;Leiden;0546;;
Leiderdorp;2112;;;Leiderdorp;0547;;
Leidschendam;1621;;;Leidschendam-Voorburg;1916;;
Leimuiden;3036;;;Kaag en Braassem;1884;;
Leimuiden;3541;04-01-2012;;Kaag en Braassem;1884;;
Leimuiderbrug;1605;;;Haarlemmermeer;0394;;
Lekkerkerk;2376;;;Nederlek;0643;;
Lekkum;1198;;;Leeuwarden;0080;;
Lellens;1835;;;Ten Boer;0009;;
Lelystad;1051;;;Lelystad;0995;;
Lemele;2552;;;Ommen;0175;;
Lemelerveld;1238;;;Dalfsen;0148;;
Lemiers;1430;;;Vaals;0981;;
Lemmer;2245;;;Lemsterland;0082;;
Lengel;2208;;;Montferland;1955;;
Lent;2545;;;Nijmegen;0268;;
Leons;2025;;;Littenseradiel;0140;;
Lepelstraat;1939;;;Bergen op Zoom;0748;;
Lettelbert;2342;;;Leek;0022;;
Lettele;2858;;;Deventer;0150;;
Leunen;2330;;;Venray;0984;;
Leur;2567;;;Wijchen;0296;;
Leusden;2638;;;Leusden;0327;;
Leuth;2876;;;Ubbergen;0282;;
Leutingewolde;1639;;;Noordenveld;1699;;
Leuvenheim;1112;;;Brummen;0213;;
Leveroy;2040;;;Nederweert;0946;;
Lewedorp;1258;;;Borsele;0654;;
Lexmond;2105;;;Zederik;0707;;
Lichtaard;3207;;;Ferwerderadiel;1722;;
Lichtenvoorde;2227;;;Oost Gelre;1586;;
Liempde;2440;;;Boxtel;0757;;
Lienden;3379;;;Buren;0214;;
Lierderholthuis;1496;;;Raalte;0177;;
Lieren;2250;;;Apeldoorn;0200;;
Lierop;2746;;;Someren;0847;;
Lies;2616;;;Terschelling;0093;;
Lieshout;1447;;;Laarbeek;1659;;
Liessel;1776;;;Deurne;0762;;
Lievelde;2225;;;Oost Gelre;1586;;
Lieveren;1640;;;Noordenveld;1699;;
Lijnden;1616;;;Haarlemmermeer;0394;;
Limbricht;2815;;;Sittard-Geleen;1883;;
Limmen;2270;;;Castricum;0383;;
Linde;3168;;;De Wolden;1690;;
Linden;1453;;;Cuijk;1684;;
Linne;1921;;;Maasgouw;1641;;
Linschoten;1963;;;Montfoort;0335;;
Lioessens;3401;;;Dongeradeel;0058;;
Lippenhuizen;3350;;;Opsterland;0086;;
Lisse;1466;;;Lisse;0553;;
Lisserbroek;1609;;;Haarlemmermeer;0394;;
Lith;3468;;;Oss;0828;;
Lithoijen;3469;;;Oss;0828;;
Lobith;2978;;;Rijnwaarden;0196;;
Lochem;1343;;;Lochem;0262;;
Loenen;2251;;;Apeldoorn;0200;;
Loenen aan de Vecht;2219;;;Loenen;0329;;01-01-2011
Loenen aan de Vecht;2219;;;Stichtse Vecht;1904;01-01-2011;
Loenersloot;2220;;;Loenen;0329;;01-01-2011
Loenersloot;2220;;;Stichtse Vecht;1904;01-01-2011;
Loënga;2862;;;Sneek;0091;;01-01-2011
Loënga;2862;;01-01-2011;Súdwest Fryslân;1900;01-01-2011;
Loënga;3505;01-01-2011;;Súdwest Fryslân;1900;;
Loerbeek;2209;;;Montferland;1955;;
Lollum;2316;;;Wûnseradiel;0710;;01-01-2011
Lollum;2316;;;Súdwest Fryslân;1900;01-01-2011;
Lomm;3141;;;Venlo;0983;;
Longerhouw;2317;;;Wûnseradiel;0710;;01-01-2011
Longerhouw;2317;;;Súdwest Fryslân;1900;01-01-2011;
Loo Gld;2098;;;Duiven;0226;;
Loo Gld;3135;;;Lingewaard;1705;;
Loon;2392;;;Assen;0106;;
Loon op Zand;3053;;;Loon op Zand;0809;;
Loosbroek;3061;;;Bernheze;1721;;
Loosdrecht;3002;;06-03-2012;Wijdemeren;1696;;
Loosdrecht;3537;09-12-2011;;Wijdemeren;1696;;
Loozen;1556;;;Hardenberg;0160;;
Lopik;1960;;;Lopik;0331;;
Lopikerkapel;1961;;;Lopik;0331;;
Loppersum;3449;;;Loppersum;0024;;
Losdorp;3239;;;Delfzijl;0010;;
Losser;1713;;;Losser;0168;;
Lottum;1033;;;Horst aan de Maas;1507;;
Lucaswolde;2262;;;Marum;0025;;
Luddeweer;1353;;;Slochteren;0040;;
Luinjeberd;2183;;;Heerenveen;0074;;
Lunteren;2765;;;Ede;0228;;
Lutjebroek;1104;;;Stede Broec;0532;;
Lutjegast;2177;;;Grootegast;0015;;
Lutjewinkel;2517;;;Niedorp;0412;;01-01-2012
Lutjewinkel;2517;;;Hollands Kroon;1911;01-01-2012;
Luttelgeest;1273;;;Noordoostpolder;0171;;
Lutten;1557;;;Hardenberg;0160;;
Luttenberg;1494;;;Raalte;0177;;
Luxwoude;3351;;;Opsterland;0086;;
Luyksgestel;1458;;;Bergeijk;1724;;
Lytsewierrum;2026;;;Littenseradiel;0140;;
Maarheeze;1568;;;Cranendonck;1706;;
Maarn;3340;;;Utrechtse Heuvelrug;1581;;
Maarsbergen;3341;;;Utrechtse Heuvelrug;1581;;
Maarssen;2064;;;Maarssen;0333;;01-01-2011
Maarssen;2064;;;Stichtse Vecht;1904;01-01-2011;
Maartensdijk;2936;;;De Bilt;0310;;
Maasbommel;1772;;;West Maas en Waal;0668;;
Maasbracht;1920;;;Maasgouw;1641;;
Maasbree;2601;;;Peel en Maas;1894;;
Maasdam;2382;;;Binnenmaas;0585;;
Maasdijk;2658;;;Westland;1783;;
Maashees;1218;;;Boxmeer;0756;;
Maasland;2806;;;Midden-Delfland;1842;;
Maassluis;1069;;;Maassluis;0556;;
Maastricht;1406;;;Maastricht;0935;;
Maastricht-Airport;1672;;;Beek;0888;;
Maasvlakte Rotterdam;3084;;;Rotterdam;0599;;
Macharen;3252;;;Oss;0828;;
Made;2577;;;Drimmelen;1719;;
Makkinga;1760;;;Ooststellingwerf;0085;;
Makkum;2318;;;Wûnseradiel;0710;;01-01-2011
Makkum;2318;;;Súdwest Fryslân;1900;01-01-2011;
Malden;3494;;;Heumen;0252;;
Mander;1290;;;Tubbergen;0183;;
Manderveen;1291;;;Tubbergen;0183;;
Mantgum;2027;;;Littenseradiel;0140;;
Mantinge;3016;;;Midden-Drenthe;1731;;
Maren-Kessel;3471;;;Oss;0828;;
Margraten;1694;;;Margraten;0936;;01-01-2011
Margraten;1694;;;Eijsden-Margraten;1903;01-01-2011;
Maria Hoop;2043;;;Echt-Susteren;1711;;
Mariahout;1448;;;Laarbeek;1659;;
Mariaparochie;1292;;;Tubbergen;0183;;
Mariënberg;1558;;;Hardenberg;0160;;
Mariënheem;1493;;;Raalte;0177;;
Mariënvelde;2230;;;Oost Gelre;1586;;
Marijenkampen;2705;;;Steenwijkerland;1708;;
Markelo;1444;;;Hof van Twente;1735;;
Marken;1943;;;Waterland;0852;;
Markenbinnen;1904;;;Graft-De Rijp;0365;;
Marknesse;1274;;;Noordoostpolder;0171;;
Marle;1383;;;Olst-Wijhe;1773;;
Marrum;3208;;;Ferwerderadiel;1722;;
Marsum;2730;;;Menaldumadeel;0083;;01-01-2011
Marsum;2730;;;Menameradiel;1908;01-01-2011;
Marum;2263;;;Marum;0025;;
Marwijksoord;1170;;;Aa en Hunze;1680;;
Mastenbroek;2200;;;Zwartewaterland;1896;;
Mastenbroek;2901;;;Kampen;0166;;
Matsloot;1641;;;Noordenveld;1699;;
Maurik;3380;;;Buren;0214;;
Mechelen;1231;;;Gulpen-Wittem;1729;;
Medemblik;3151;;;Medemblik;0420;;
Meeden;2277;;;Menterwolde;1987;;
Meedhuizen;3240;;;Delfzijl;0010;;
Meerkerk;2108;;;Zederik;0707;;
Meerlo;1858;;;Horst aan de Maas;1507;;
Meerssen;1463;;;Meerssen;0938;;
Meerstad;3488;;;Slochteren;0040;;
Meeuwen;1955;;;Aalburg;0738;;
Megchelen;1584;;;Oude IJsselstreek;1509;;
Megen;3251;;;Oss;0828;;
Meijel;2140;;;Peel en Maas;1894;;
Melderslo;1034;;;Horst aan de Maas;1507;;
Melick;2591;;;Roerdalen;1669;;
Meliskerke;2780;;;Veere;0717;;
Melissant;2379;;;Dirksland;0504;;
Menaam;2731;;;Menaldumadeel;0083;;01-01-2011
Menaam;2731;;;Menameradiel;1908;01-01-2011;
Mensingeweer;3421;;;De Marne;1663;;
Meppel;1082;;;Meppel;0119;;
Meppen;2157;;;Coevorden;0109;;
Merkelbeek;2847;;;Onderbanken;0881;;
Merselo;2331;;;Venray;0984;;
Meteren;3219;01-06-2010;14-12-2011;Geldermalsen;0236;;
Meteren;3530;24-11-2011;;Geldermalsen;0236;;
Meterik;1035;;;Horst aan de Maas;1507;;
Metslawier;3402;;;Dongeradeel;0058;;
Mheer;1695;;;Margraten;0936;;01-01-2011
Mheer;1695;;;Eijsden-Margraten;1903;01-01-2011;
Middelaar;2801;;;Mook en Middelaar;0944;;
Middelburg;1007;;;Middelburg;0687;;
Middelharnis;3143;;;Middelharnis;0559;;
Middelie;1840;;;Zeevang;0478;;
Middelstum;3450;;;Loppersum;0024;;
Middenbeemster;2170;;;Beemster;0370;;
Middenmeer;2434;;;Wieringermeer;0463;;01-01-2012
Middenmeer;2434;;;Hollands Kroon;1911;01-01-2012;
Midlaren;2926;;;Tynaarlo;1730;;
Midlum;2892;;;Harlingen;0072;;
Midsland;2619;;;Terschelling;0093;;
Midwolda;1897;;;Oldambt;1895;;
Midwolde;2343;;;Leek;0022;;
Midwoud;3152;;;Medemblik;0420;;
Miedum;1199;;;Leeuwarden;0080;;
Mierlo;1127;;;Geldrop-Mierlo;1771;;
Mijdrecht;1929;;07-02-2012;De Ronde Venen;0736;;
Mijdrecht;3549;07-02-2012;;De Ronde Venen;0736;;
Mijnsheerenland;2383;;;Binnenmaas;0585;;
Mildam;2191;;;Heerenveen;0074;;
Milheeze;2091;;;Gemert-Bakel;1652;;
Mill;1976;;;Mill en Sint Hubert;0815;;
Millingen aan de Rijn;2289;;;Millingen aan de Rijn;0265;;
Milsbeek;2479;;;Gennep;0907;;
Minnertsga;3333;;;het Bildt;0063;;
Mirns;1678;;;Gaasterlân-Sleat;0653;;
Moddergat;3403;;;Dongeradeel;0058;;
Moerdijk;1322;;;Moerdijk;1709;;
Moergestel;2647;;;Oisterwijk;0824;;
Moerkapelle;1212;;;Zuidplas;1892;;
Moerstraten;1593;;;Roosendaal;1674;;
Molenaarsgraaf;1983;;;Graafstroom;0693;;
Molenhoek;2802;;;Mook en Middelaar;0944;;
Molenschot;2069;;;Gilze en Rijen;0784;;
Molkwerum;1967;;;Nijefurd;0104;;01-01-2011
Molkwerum;1967;;;Súdwest Fryslân;1900;01-01-2011;
Monnickendam;1944;;;Waterland;0852;;
Monster;2659;;;Westland;1783;;
Montfoort;1964;;;Montfoort;0335;;
Montfort;2592;;;Roerdalen;1669;;
Mook;2803;;;Mook en Middelaar;0944;;
Mookhoek;2796;;;Strijen;0617;;
Moordrecht;1244;;;Zuidplas;1892;;
Moorveld;1464;;;Meerssen;0938;;
Morra;3404;;;Dongeradeel;0058;;
Muiden;1518;;;Muiden;0424;;
Muiderberg;1519;;;Muiden;0424;;
Mûnein;2446;;;Tytsjerksteradiel;0737;;
Munnekeburen;1725;;;Weststellingwerf;0098;;
Munnekezijl;3312;;;Kollumerland en Nieuwkruisland;0079;;
Munstergeleen;2816;;;Sittard-Geleen;1883;;
Muntendam;2278;;;Menterwolde;1987;;
Mussel;3077;;;Stadskanaal;0037;;
Musselkanaal;3075;;;Stadskanaal;0037;;
Naaldwijk;2660;;;Westland;1783;;
Naarden;1052;;;Naarden;0425;;
Nagele;1278;;;Noordoostpolder;0171;;
Nederasselt;3497;;;Heumen;0252;;
Nederhemert;2633;;;Zaltbommel;0297;;
Nederhorst den Berg;3003;;;Wijdemeren;1696;;
Nederland;2706;;;Steenwijkerland;1708;;
Nederweert;2037;;;Nederweert;0946;;
Nederweert-Eind;2039;;;Nederweert;0946;;
Neede;1656;;;Berkelland;1859;;
Neer;2952;;;Leudal;1640;;
Neerijnen;3363;;;Neerijnen;0304;;
Neeritter;2953;;;Leudal;1640;;
Neerkant;1777;;;Deurne;0762;;
Neerlangel;3261;;;Oss;0828;;
Neerloon;3262;;;Oss;0828;;
Nes;2531;;;Boarnsterhim;0055;;
Nes;2588;;;Ameland;0060;;
Nes;3405;;;Dongeradeel;0058;;
Netersel;1068;;;Bladel;1728;;
Netterden;1583;;;Oude IJsselstreek;1509;;
Niawier;3406;;;Dongeradeel;0058;;
Nibbixwoud;3153;;;Medemblik;0420;;
Niebert;2264;;;Marum;0025;;
Niehove;2121;;;Zuidhorn;0056;;
Niekerk;2178;;;Grootegast;0015;;
Niekerk;3422;;;De Marne;1663;;
Nietap;1642;;;Noordenveld;1699;;
Nieuw Annerveen;1171;;;Aa en Hunze;1680;;
Nieuw Beerta;1421;;;Oldambt;1895;;
Nieuw- en Sint Joosland;1009;;;Middelburg;0687;;
Nieuw Heeten;1499;;;Raalte;0177;;
Nieuw Namen;3093;;;Hulst;0677;;
Nieuw Scheemda;1894;;;Oldambt;1895;;
Nieuwaal;2634;;;Zaltbommel;0297;;
Nieuw-Amsterdam;1993;;;Emmen;0114;;
Nieuw-Balinge;3018;;;Midden-Drenthe;1731;;
Nieuw-Beijerland;2887;;;Korendijk;0588;;
Nieuw-Buinen;1797;;;Borger-Odoorn;1681;;
Nieuw-Dordrecht;1994;;;Emmen;0114;;
Nieuwdorp;1259;;;Borsele;0654;;
Nieuwe Niedorp;2518;;;Niedorp;0412;;01-01-2012
Nieuwe Niedorp;2518;;;Hollands Kroon;1911;01-01-2012;
Nieuwe Pekela;1398;;;Pekela;0765;;
Nieuwe Wetering;3037;;;Kaag en Braassem;1884;;
Nieuwebrug;2496;;;Skarsterlân;0051;;
Nieuwediep;1172;;;Aa en Hunze;1680;;
Nieuwegein;1108;;;Nieuwegein;0356;;
Nieuwehorne;2194;;;Heerenveen;0074;;
Nieuwendijk;2216;;;Werkendam;0870;;
Nieuwer Ter Aa;1394;;;Breukelen;0311;;01-01-2011
Nieuwer Ter Aa;1394;;;Stichtse Vecht;1904;01-01-2011;
Nieuwerbrug aan den Rijn;2666;;;Bodegraven;0497;;01-01-2011
Nieuwerbrug aan den Rijn;2666;;;Bodegraven-Reeuwijk;1901;01-01-2011;
Nieuwerkerk;2680;;;Schouwen-Duiveland;1676;;
Nieuwerkerk aan den IJssel;1016;;;Zuidplas;1892;;
Nieuweroord;1815;;;Hoogeveen;0118;;
Nieuweroord;3017;;;Midden-Drenthe;1731;;
Nieuwersluis;2221;;;Loenen;0329;;01-01-2011
Nieuwersluis;2221;;;Stichtse Vecht;1904;01-01-2011;
Nieuweschoot;2187;;;Heerenveen;0074;;
Nieuwe-Tonge;3144;;;Middelharnis;0559;;
Nieuwkoop;2667;;;Nieuwkoop;0569;;
Nieuwkuijk;3502;;;Heusden;0797;;
Nieuwland;2111;;;Zederik;0707;;
Nieuwlande;1816;;;Hoogeveen;0118;;
Nieuwlande Coevorden;2158;;;Coevorden;0109;;
Nieuw-Lekkerland;2795;;;Nieuw-Lekkerland;0571;;
Nieuwleusen;1239;;;Dalfsen;0148;;
Nieuwolda;1896;;;Oldambt;1895;;
Nieuwpoort;1807;;;Liesveld;0694;;
Nieuw-Roden;1643;;;Noordenveld;1699;;
Nieuw-Schoonebeek;1995;;;Emmen;0114;;
Nieuwstadt;2047;;;Echt-Susteren;1711;;
Nieuwveen;2670;;;Nieuwkoop;0569;;
Nieuw-Vennep;1602;;;Haarlemmermeer;0394;;
Nieuwvliet;2969;;;Sluis;1714;;
Nieuw-Vossemeer;1404;;;Steenbergen;0851;;
Nieuw-Weerdinge;1996;;;Emmen;0114;;
Niezijl;2122;;;Zuidhorn;0056;;
Niftrik;2569;;;Wijchen;0296;;
Nigtevecht;2222;;;Loenen;0329;;01-01-2011
Nigtevecht;2222;;;Stichtse Vecht;1904;01-01-2011;
Nij Altoenae;3330;;;het Bildt;0063;;
Nij Beets;3352;;;Opsterland;0086;;
Nijbroek;2607;;;Voorst;0285;;
Nijeberkoop;1761;;;Ooststellingwerf;0085;;
Nijega;3284;;;Smallingerland;0090;;
Nijehaske;2497;;;Skarsterlân;0051;;
Nijeholtpade;1726;;;Weststellingwerf;0098;;
Nijeholtwolde;1727;;;Weststellingwerf;0098;;
Nijelamer;1728;;;Weststellingwerf;0098;;
Nijemirdum;1679;;;Gaasterlân-Sleat;0653;;
Nijensleek;3116;;;Westerveld;1701;;
Nijetrijne;1729;;;Weststellingwerf;0098;;
Nijeveen;1083;;;Meppel;0119;;
Nijhuizum;1972;;;Nijefurd;0104;;01-01-2011
Nijhuizum;1972;;;Súdwest Fryslân;1900;01-01-2011;
Nijkerk;2869;;;Nijkerk;0267;;
Nijkerkerveen;2870;;;Nijkerk;0267;;
Nijland;2414;;;Wymbritseradiel;0683;;01-01-2011
Nijland;2414;;;Súdwest Fryslân;1900;01-01-2011;
Nijlande;1173;;;Aa en Hunze;1680;;
Nijmegen;3030;;;Nijmegen;0268;;
Nijverdal;1042;;;Hellendoorn;0163;;
Nispen;1591;;;Roosendaal;1674;;
Nisse;1260;;;Borsele;0654;;
Nistelrode;3062;;;Bernheze;1721;;
Noardburgum;2450;;;Tytsjerksteradiel;0737;;
Nooitgedacht;1174;;;Aa en Hunze;1680;;
Noorbeek;1696;;;Margraten;0936;;01-01-2011
Noorbeek;1696;;;Eijsden-Margraten;1903;01-01-2011;
Noordbeemster;2171;;;Beemster;0370;;
Noordbroek;2279;;;Menterwolde;1987;;
Noordeinde;1905;;;Graft-De Rijp;0365;;
Noordeinde Gld;3070;;;Oldebroek;0269;;
Noordeloos;1436;;;Giessenlanden;0689;;
Noorden;2668;;;Nieuwkoop;0569;;
Noordgouwe;2681;;;Schouwen-Duiveland;1676;;
Noordhoek;1325;;;Moerdijk;1709;;
Noordhorn;2123;;;Zuidhorn;0056;;
Noordlaren;1268;;;Haren;0017;;
Noord-Scharwoude;1118;;;Langedijk;0416;;
Noordscheschut;1817;;;Hoogeveen;0118;;
Noord-Sleen;2159;;;Coevorden;0109;;
Noordwelle;2682;;;Schouwen-Duiveland;1676;;
Noordwijk;2061;;;Noordwijk;0575;;
Noordwijk;2265;;;Marum;0025;;
Noordwijkerhout;1927;;;Noordwijkerhout;0576;;
Noordwolde;1730;;;Weststellingwerf;0098;;
Noordwolde;2830;;;Bedum;0005;;
Nootdorp;1142;;;Pijnacker-Nootdorp;1926;;
Norg;1644;;;Noordenveld;1699;;
Notter;1090;;;Wierden;0189;;
Nuenen;2136;;;Nuenen, Gerwen en Nederwetten;0820;;
Nuis;2266;;;Marum;0025;;
Nuland;2748;;;Maasdonk;1671;;
Numansdorp;2372;;;Cromstrijen;0611;;
Nunhem;2954;;;Leudal;1640;;
Nunspeet;2982;;;Nunspeet;0302;;
Nuth;2358;;;Nuth;0951;;
Nutter;1411;;;Dinkelland;1774;;
Obbicht;2817;;;Sittard-Geleen;1883;;
Obdam;1187;;;Koggenland;1598;;
Ochten;1097;;;Neder-Betuwe;1740;;
Odijk;2604;;;Bunnik;0312;;
Odiliapeel;1849;;;Uden;0856;;
Odoorn;1798;;;Borger-Odoorn;1681;;
Odoornerveen;1799;;;Borger-Odoorn;1681;;
Oeffelt;1219;;;Boxmeer;0756;;
Oegstgeest;2744;;;Oegstgeest;0579;;
Oene;1347;;;Epe;0232;;
Oentsjerk;2443;;;Tytsjerksteradiel;0737;;
Offingawier;2863;;;Sneek;0091;;01-01-2011
Offingawier;2863;;01-01-2011;Súdwest Fryslân;1900;01-01-2011;
Offingawier;3506;01-01-2011;;Súdwest Fryslân;1900;;
Ohé en Laak;1923;;;Maasgouw;1641;;
Oijen;3470;;;Oss;0828;;
Oirlo;2332;;;Venray;0984;;
Oirsbeek;2101;;;Schinnen;0962;;
Oirschot;1207;;;Oirschot;0823;;
Oisterwijk;2646;;;Oisterwijk;0824;;
Okkenbroek;2859;;;Deventer;0150;;
Olburgen;1529;;;Bronckhorst;1876;;
Oldeberkoop;1762;;;Ooststellingwerf;0085;;
Oldebroek;3071;;;Oldebroek;0269;;
Oldeholtpade;1731;;;Weststellingwerf;0098;;
Oldeholtwolde;1732;;;Weststellingwerf;0098;;
Oldehove;2124;;;Zuidhorn;0056;;
Oldekerk;2179;;;Grootegast;0015;;
Oldelamer;1733;;;Weststellingwerf;0098;;
Oldemarkt;2707;;;Steenwijkerland;1708;;
Oldenzaal;1668;;;Oldenzaal;0173;;
Oldenzijl;3476;;;Eemsmond;1651;;
Oldeouwer;2498;;;Skarsterlân;0051;;
Oldetrijne;1734;;;Weststellingwerf;0098;;
Olst;1379;;;Olst-Wijhe;1773;;
Olterterp;3353;;;Opsterland;0086;;
Ommel;2930;;;Asten;0743;;
Ommen;2546;;;Ommen;0175;;
Ommeren;3381;;;Buren;0214;;
Onderdendam;2831;;;Bedum;0005;;
Onna;2708;;;Steenwijkerland;1708;;
Onnen;1269;;;Haren;0017;;
Onstwedde;3076;;;Stadskanaal;0037;;
Ooij;2877;;;Ubbergen;0282;;
Ooltgensplaat;2133;;;Oostflakkee;0580;;
Oost West en Middelbeers;1208;;;Oirschot;0823;;
Oostburg;2960;;;Sluis;1714;;
Oostdijk;3464;;;Reimerswaal;0703;;
Oosteind;2957;;;Oosterhout;0826;;
Oosterbeek;2990;;;Renkum;0274;;
Oosterbierum;1375;;;Franekeradeel;0070;;
Oosterblokker;1509;;;Drechterland;0498;;
Oosterend;2614;;;Terschelling;0093;;
Oosterend Nh;2742;;;Texel;0448;;
Oosterhesselen;2160;;;Coevorden;0109;;
